skip|69-HC-1268||||||
094:56:20|AS13-60-8722|||Moon eastern hemisphere|||
094:56:40|AS13-60-8723|||Moon eastern hemisphere|||
094:57:00|AS13-60-8724|||Moon eastern hemisphere|||
099:46:15|AS13-60-8725|||Earth, North America|||
099:48:04|AS13-60-8726|||Earth, North America|||
077:38:20|AS13-61-8727|||Command Module visible with Mare Smythii and Mare Marginis through LM docking window|||
077:38:30|AS13-61-8728|||Command Module visible in foreground with Mare Smythii through LM docking window|||
077:38:40|AS13-61-8729|||Command Module visible in foreground with Mare Smythii through LM docking window|||
077:38:50|AS13-61-8730|||South East limb of the Moon, Pasteur, through the LM docking window|||
077:39:10|AS13-61-8731|||South East limb of the Moon, Pasteur, through the LM docking window|||
077:39:20|AS13-61-8732|||South East limb of the Moon, Pasteur, through the LM docking window|||
077:39:30|AS13-61-8733|||South East limb of the Moon, Pasteur, through the LM docking window|||
077:39:40|AS13-61-8734|||South East limb of the Moon, Pasteur, through the LM docking window|||
077:39:50|AS13-61-8735|||South East limb of the Moon, Pasteur, through the LM docking window|||
077:40:00|AS13-61-8736|||CM visible in foreground, Mare Smythii, through the LM docking window|||
077:40:05|AS13-61-8737|||Command Module visible with Mare Smythii and Mare Marginis through LM docking window|||
077:40:11|AS13-61-8738|||Command Module visible with Mare Smythii and Mare Marginis through LM docking window|||
077:40:16|AS13-61-8739|||CM visible in foreground, Mare Smythii, Mare Undarum and Mare Crisium through the LM docking window|||
077:40:20|AS13-61-8740|||CM visible in foreground, Mare Smythii, Mare Marginis, Mare Undarum through the LM docking window|||
077:41:02|AS13-61-8741|||Lunar disc looking East with Mare Smythii and Mare Undarum through the LM AOT. The CSM EVA floodlight is visible|||
077:41:06|AS13-61-8742|||Lunar disc looking East with Mare Smythii and Mare Undarum through the LM AOT. The CSM EVA floodlight is visible|||
077:41:10|AS13-61-8743|||Lunar disc looking East with Mare Smythii and Mare Undarum through the LM AOT. The CSM EVA floodlight is visible|||
077:41:14|AS13-61-8744|||Lunar disc looking East with Mare Smythii and Mare Undarum through the LM AOT. The CSM EVA floodlight is visible|||
077:41:18|AS13-61-8745|||Lunar disc looking East with Mare Smythii and Mare Undarum through the LM AOT. The CSM EVA floodlight is visible|||
077:41:44|AS13-61-8746|||Lunar disc looking East with Mare Smythii, Mare Undarum, and Neper, through the LM docking window|||
077:41:50|AS13-61-8747|||Lunar disc looking East with Mare Smythii, Mare Undarum, Mare Australe and Neper, through the LM docking window|||
077:47:02|AS13-61-8748|||Mare Crisium, Mare Fecunditatis, Mare Marginis and Mare Smythii|||
077:47:06|AS13-61-8749|||Mare Crisium, Mare Fecunditatis, Mare Marginis and Mare Smythii, and Tsiolkovsky|||
077:47:09|AS13-61-8750|||Mare Crisium, Mare Fecunditatis, Mare Marginis and Mare Smythii, and Langrenus|||
077:47:13|AS13-61-8751|||Mare Crisium, Mare Fecunditatis, Mare Marginis and Mare Smythii, and Langrenus|||
077:47:16|AS13-61-8752|||Mare Crisium, Mare Fecunditatis, Mare Marginis and Mare Smythii, Mare Tranquillitatis|||
